1,2
1,3
1,5
1,7
1,11
1,12
1,13
1,15
1,17
1,18
1,20
1,23
1,27
1,32
1,47
1,50
1,54
1,56
1,59
1,68
1,87
1,104
1,106
1,107
1,109
1,126
1,131
1,133
1,155
1,158
1,213
1,227
1,298
1,330
1,462
2,1
2,3
2,7
2,11
2,12
2,14
2,15
2,17
2,19
2,20
2,23
2,38
2,42
2,45
2,51
2,70
2,85
2,98
2,110
2,120
2,156
2,160
2,172
2,210
2,219
2,263
2,390
3,1
3,2
3,4
3,6
3,7
3,8
3,11
3,12
3,13
3,15
3,19
3,20
3,31
3,32
3,34
3,35
3,36
3,38
3,40
3,46
3,49
3,55
3,57
3,75
3,78
3,82
3,85
3,93
3,98
3,119
3,129
3,134
3,164
3,174
3,194
3,223
3,265
3,397
4,1
4,3
4,5
4,6
4,7
4,40
4,80
4,107
4,121
4,147
4,181
4,195
4,255
5,1
5,4
5,6
5,7
5,12
5,23
5,91
5,125
5,133
5,223
6,2
6,4
6,5
6,7
6,12
6,18
6,19
6,37
6,43
6,133
6,136
6,187
6,210
6,272
6,447
7,3
7,4
7,5
7,8
7,9
7,10
7,11
7,12
7,13
7,16
7,22
7,24
7,26
7,27
7,28
7,33
7,36
7,37
7,41
7,42
7,47
7,52
7,53
7,55
7,56
7,57
7,65
7,74
7,78
7,81
7,99
7,107
7,181
7,185
7,196
7,221
7,236
7,260
7,303
7,332
7,463
8,2
8,3
8,7
8,9
8,10
8,11
8,12
8,13
8,22
8,24
8,27
8,36
8,37
8,41
8,52
8,53
8,57
8,79
8,87
8,93
8,124
8,152
8,201
8,207
8,221
9,1
9,17
9,18
9,39
9,51
9,119
9,205
10,7
10,22
10,178
11,1
11,2
11,3
11,7
11,13
11,17
11,19
11,20
11,21
11,22
11,23
11,32
11,35
11,37
11,52
11,56
11,58
11,65
11,67
11,75
11,76
11,104
11,119
11,145
11,158
11,239
11,260
12,1
12,2
12,3
12,5
12,6
12,7
12,11
12,17
12,20
12,29
12,38
12,42
12,51
12,60
12,67
12,76
12,94
12,232
12,324
12,477
13,1
13,3
13,6
13,7
13,12
13,14
13,17
13,18
13,19
13,32
13,65
13,82
13,97
13,100
13,120
13,169
13,170
13,283
13,344
14,3
14,19
14,70
15,2
15,11
15,13
15,17
15,98
15,178
16,1
16,3
16,5
16,12
17,2
17,11
17,12
17,13
17,19
17,29
17,66
17,104
17,107
18,1
18,4
18,13
18,43
18,65
18,126
18,298
19,1
19,2
19,3
19,11
19,13
19,17
19,18
19,20
19,35
19,55
19,78
19,157
19,253
19,306
20,1
20,3
20,7
20,8
20,13
20,15
20,19
20,31
20,36
20,62
20,78
20,95
20,216
21,2
21,3
21,54
22,1
22,7
22,57
22,62
22,201
23,1
23,2
23,3
23,8
23,11
23,12
23,13
23,30
23,96
23,186
23,201
23,314
23,359
24,7
24,8
24,11
24,43
24,70
24,74
24,99
24,102
24,204
25,1
25,7
25,57
26,8
26,35
27,2
27,7
27,11
27,24
27,60
27,70
27,158
27,177
27,194
27,229
28,26
29,11
29,39
29,100
29,302
30,19
31,1
31,7
31,12
31,59
31,94
32,11
32,13
32,47
32,100
33,24
34,5
35,2
35,3
35,12
35,23
35,32
35,68
35,104
36,2
36,3
36,4
36,47
36,312
37,5
37,6
37,7
37,15
37,91
37,114
37,254
38,3
38,15
38,23
38,32
38,71
38,126
39,1
39,9
39,11
39,35
39,143
39,205
40,8
40,13
40,25
40,31
40,35
41,27
42,1
42,3
