1,8,,p0[,*M+,]=threshold;,,p0[1*M+8]=threshold;,,p0[8*M+1]=threshold;
1,11,,p0[,*M+,]=threshold;,,p0[1*M+11]=threshold;,,p0[11*M+1]=threshold;
1,61,,p0[,*M+,]=threshold;,,p0[1*M+61]=threshold;,,p0[61*M+1]=threshold;
1,98,,p0[,*M+,]=threshold;,,p0[1*M+98]=threshold;,,p0[98*M+1]=threshold;
1,185,,p0[,*M+,]=threshold;,,p0[1*M+185]=threshold;,,p0[185*M+1]=threshold;
1,385,,p0[,*M+,]=threshold;,,p0[1*M+385]=threshold;,,p0[385*M+1]=threshold;
2,19,,p0[,*M+,]=threshold;,,p0[2*M+19]=threshold;,,p0[19*M+2]=threshold;
2,103,,p0[,*M+,]=threshold;,,p0[2*M+103]=threshold;,,p0[103*M+2]=threshold;
2,146,,p0[,*M+,]=threshold;,,p0[2*M+146]=threshold;,,p0[146*M+2]=threshold;
2,254,,p0[,*M+,]=threshold;,,p0[2*M+254]=threshold;,,p0[254*M+2]=threshold;
3,8,,p0[,*M+,]=threshold;,,p0[3*M+8]=threshold;,,p0[8*M+3]=threshold;
3,9,,p0[,*M+,]=threshold;,,p0[3*M+9]=threshold;,,p0[9*M+3]=threshold;
3,12,,p0[,*M+,]=threshold;,,p0[3*M+12]=threshold;,,p0[12*M+3]=threshold;
3,13,,p0[,*M+,]=threshold;,,p0[3*M+13]=threshold;,,p0[13*M+3]=threshold;
3,15,,p0[,*M+,]=threshold;,,p0[3*M+15]=threshold;,,p0[15*M+3]=threshold;
3,16,,p0[,*M+,]=threshold;,,p0[3*M+16]=threshold;,,p0[16*M+3]=threshold;
3,18,,p0[,*M+,]=threshold;,,p0[3*M+18]=threshold;,,p0[18*M+3]=threshold;
3,38,,p0[,*M+,]=threshold;,,p0[3*M+38]=threshold;,,p0[38*M+3]=threshold;
3,46,,p0[,*M+,]=threshold;,,p0[3*M+46]=threshold;,,p0[46*M+3]=threshold;
3,63,,p0[,*M+,]=threshold;,,p0[3*M+63]=threshold;,,p0[63*M+3]=threshold;
3,81,,p0[,*M+,]=threshold;,,p0[3*M+81]=threshold;,,p0[81*M+3]=threshold;
3,82,,p0[,*M+,]=threshold;,,p0[3*M+82]=threshold;,,p0[82*M+3]=threshold;
3,88,,p0[,*M+,]=threshold;,,p0[3*M+88]=threshold;,,p0[88*M+3]=threshold;
